Time (s),0.1 uM,0.5 uM,1 uM,5 uM,10 uM,50 uM
0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.7777777777777777,0.042139065896920874,0.20133584579098573,0.38083779475170443,1.2881884478196248,1.7910048969598478,2.519281284864199
5.555555555555555,0.06663902247491434,0.32437144594419776,0.6268383034370144,2.3607810669106772,3.444302604937377,5.0258769352369015
8.333333333333332,0.08080471908515255,0.3977429218863151,0.7792694974729418,3.206629057067749,4.933580069105734,7.5185552397838435
11.11111111111111,0.08896864477695271,0.44082197514353255,0.8710099780217506,3.8335871299528264,6.231530457217929,9.995905180748949
13.88888888888889,0.09366477479057761,0.46587584505590174,0.9251852873607858,4.269763717047712,7.314778857588003,12.456301589271249
16.666666666666664,0.09636318067154614,0.480364333502971,0.9568025076042919,4.556311736997575,8.171425288311877,14.897861860836976
19.444444444444443,0.09791271570589101,0.48871513737441774,0.9751243042886018,4.736111515771451,8.808323726229137,17.318391812003824
22.22222222222222,0.09880220043027188,0.49351904767362714,0.9856972719909408,4.8452518259469235,9.252720013023684,19.71531748135967
25.0,0.09931268823023813,0.49627947795166627,0.9917837653524023,4.910054485857345,9.545398974653773,22.08559864001284
